time,event,stk_cd,stk_nm,qty,price,base_price,order_no,profit_amount,profit_pct,memo,state,cycle,take_profit_price,stop_loss_price
2026-07-06 11:07:33,DCA_TRIGGER_NO_BUY,0193T0,KODEX SK하이닉스단일종목레버리지,0,25490,27595,,,,DCA트리거선 터치: DCA 예산 부족 또는 1주 미만으로 추가매수 없이 다음 트리거만 조정,RECOVERY,12,28650,25500,0,1569009,106,27595
2026-07-06 11:07:36,DCA_TRIGGER_NO_BUY,0193T0,KODEX SK하이닉스단일종목레버리지,0,25470,27595,,,,DCA트리거선 터치: DCA 예산 부족 또는 1주 미만으로 추가매수 없이 다음 트리거만 조정,RECOVERY,13,28650,25500,0,1569009,106,27595
2026-07-06 11:07:39,DCA_TRIGGER_NO_BUY,0193T0,KODEX SK하이닉스단일종목레버리지,0,25430,27595,,,,DCA트리거선 터치: DCA 예산 부족 또는 1주 미만으로 추가매수 없이 다음 트리거만 조정,RECOVERY,14,28650,25500,0,1569009,106,27595
2026-07-06 11:07:42,DCA_TRIGGER_NO_BUY,0193T0,KODEX SK하이닉스단일종목레버리지,0,25410,27595,,,,DCA트리거선 터치: DCA 예산 부족 또는 1주 미만으로 추가매수 없이 다음 트리거만 조정,RECOVERY,15,28650,25500,0,1569009,106,27595
2026-07-06 11:07:45,DCA_TRIGGER_NO_BUY,0193T0,KODEX SK하이닉스단일종목레버리지,0,25385,27595,,,,DCA트리거선 터치: DCA 예산 부족 또는 1주 미만으로 추가매수 없이 다음 트리거만 조정,RECOVERY,16,28650,25500,0,1569009,106,27595
2026-07-06 11:07:48,DCA_TRIGGER_NO_BUY,0193T0,KODEX SK하이닉스단일종목레버리지,0,25390,27595,,,,DCA트리거선 터치: DCA 예산 부족 또는 1주 미만으로 추가매수 없이 다음 트리거만 조정,RECOVERY,17,28650,25500,0,1569009,106,27595
2026-07-06 11:07:51,DCA_TRIGGER_NO_BUY,0193T0,KODEX SK하이닉스단일종목레버리지,0,25375,27595,,,,DCA트리거선 터치: DCA 예산 부족 또는 1주 미만으로 추가매수 없이 다음 트리거만 조정,RECOVERY,18,28650,25500,0,1569009,106,27595
2026-07-06 11:07:54,DCA_TRIGGER_NO_BUY,0193T0,KODEX SK하이닉스단일종목레버리지,0,25380,27595,,,,DCA트리거선 터치: DCA 예산 부족 또는 1주 미만으로 추가매수 없이 다음 트리거만 조정,RECOVERY,19,28650,25500,0,1569009,106,27595
2026-07-06 11:07:57,DCA_TRIGGER_NO_BUY,0193T0,KODEX SK하이닉스단일종목레버리지,0,25365,27595,,,,DCA트리거선 터치: DCA 예산 부족 또는 1주 미만으로 추가매수 없이 다음 트리거만 조정,RECOVERY,20,28650,25500,0,1569009,106,27595
2026-07-06 11:08:00,DCA_TRIGGER_NO_BUY,0193T0,KODEX SK하이닉스단일종목레버리지,0,25380,27595,,,,DCA트리거선 터치: DCA 예산 부족 또는 1주 미만으로 추가매수 없이 다음 트리거만 조정,RECOVERY,21,28650,25500,0,1569009,106,27595
2026-07-06 11:08:03,DCA_TRIGGER_NO_BUY,0193T0,KODEX SK하이닉스단일종목레버리지,0,25455,27595,,,,DCA트리거선 터치: DCA 예산 부족 또는 1주 미만으로 추가매수 없이 다음 트리거만 조정,RECOVERY,22,28650,25500,0,1569009,106,27595
2026-07-06 11:08:06,DCA_TRIGGER_NO_BUY,0193T0,KODEX SK하이닉스단일종목레버리지,0,25470,27595,,,,DCA트리거선 터치: DCA 예산 부족 또는 1주 미만으로 추가매수 없이 다음 트리거만 조정,RECOVERY,23,28650,25500,0,1569009,106,27595
2026-07-06 11:08:10,DCA_TRIGGER_NO_BUY,0193T0,KODEX SK하이닉스단일종목레버리지,0,25435,27595,,,,DCA트리거선 터치: DCA 예산 부족 또는 1주 미만으로 추가매수 없이 다음 트리거만 조정,RECOVERY,24,28650,25500,0,1569009,106,27595
2026-07-06 11:08:13,DCA_TRIGGER_NO_BUY,0193T0,KODEX SK하이닉스단일종목레버리지,0,25405,27595,,,,DCA트리거선 터치: DCA 예산 부족 또는 1주 미만으로 추가매수 없이 다음 트리거만 조정,RECOVERY,25,28650,25500,0,1569009,106,27595
2026-07-06 11:08:16,DCA_TRIGGER_NO_BUY,0193T0,KODEX SK하이닉스단일종목레버리지,0,25415,27595,,,,DCA트리거선 터치: DCA 예산 부족 또는 1주 미만으로 추가매수 없이 다음 트리거만 조정,RECOVERY,26,28650,25500,0,1569009,106,27595
2026-07-06 11:08:19,DCA_TRIGGER_NO_BUY,0193T0,KODEX SK하이닉스단일종목레버리지,0,25425,27595,,,,DCA트리거선 터치: DCA 예산 부족 또는 1주 미만으로 추가매수 없이 다음 트리거만 조정,RECOVERY,27,28650,25500,0,1569009,106,27595
2026-07-06 11:08:22,DCA_TRIGGER_NO_BUY,0193T0,KODEX SK하이닉스단일종목레버리지,0,25430,27595,,,,DCA트리거선 터치: DCA 예산 부족 또는 1주 미만으로 추가매수 없이 다음 트리거만 조정,RECOVERY,28,28650,25500,0,1569009,106,27595
2026-07-06 11:08:25,DCA_TRIGGER_NO_BUY,0193T0,KODEX SK하이닉스단일종목레버리지,0,25420,27595,,,,DCA트리거선 터치: DCA 예산 부족 또는 1주 미만으로 추가매수 없이 다음 트리거만 조정,RECOVERY,29,28650,25500,0,1569009,106,27595
2026-07-06 11:08:28,DCA_TRIGGER_NO_BUY,0193T0,KODEX SK하이닉스단일종목레버리지,0,25415,27595,,,,DCA트리거선 터치: DCA 예산 부족 또는 1주 미만으로 추가매수 없이 다음 트리거만 조정,RECOVERY,30,28650,25500,0,1569009,106,27595
2026-07-06 11:08:31,DCA_TRIGGER_NO_BUY,0193T0,KODEX SK하이닉스단일종목레버리지,0,25405,27595,,,,DCA트리거선 터치: DCA 예산 부족 또는 1주 미만으로 추가매수 없이 다음 트리거만 조정,RECOVERY,31,28650,25500,0,1569009,106,27595
2026-07-06 11:08:34,DCA_TRIGGER_NO_BUY,0193T0,KODEX SK하이닉스단일종목레버리지,0,25420,27595,,,,DCA트리거선 터치: DCA 예산 부족 또는 1주 미만으로 추가매수 없이 다음 트리거만 조정,RECOVERY,32,28650,25500,0,1569009,106,27595
2026-07-06 11:08:37,DCA_TRIGGER_NO_BUY,0193T0,KODEX SK하이닉스단일종목레버리지,0,25475,27595,,,,DCA트리거선 터치: DCA 예산 부족 또는 1주 미만으로 추가매수 없이 다음 트리거만 조정,RECOVERY,33,28650,25500,0,1569009,106,27595
